ID_equipo,Equipo,partidos_jugados,partidos_ganados,partidos_empatados,partidos_perdidos,goles_a_favor,goles_en_contra,total_puntos
1,Barcelona,38,28,4,6,70,20,88
2,Real Madrid,38,24,6,8,75,36,78
3,Atletico De Madrid,38,23,8,7,70,33,77
4,Real Sociedad,38,21,8,9,51,35,71
5,Villarreal,38,19,7,12,59,40,64
6,Real Betis,38,17,9,12,46,41,60
7,Osasuna,38,15,8,15,37,42,53
8,Athletic Club,38,14,9,15,47,43,51
9,Mallorca,38,14,8,16,37,43,50
10,Girona,38,13,10,15,58,55,49
11,Rayo Vallecano,38,13,10,15,45,53,49
12,Sevilla,38,13,10,15,47,54,49
13,Celta De Vigo,38,11,10,17,43,53,43
14,Cadiz,38,10,12,16,30,53,42
15,Getafe,38,10,12,16,34,45,42
16,Valencia Cf,38,11,9,18,42,45,42
17,Almeria,38,11,8,19,49,65,41
18,Real Valladolid,38,11,7,20,33,63,40
19,Espanyol,38,8,13,17,52,69,37
20,Elche,38,5,10,23,30,67,25
