Nombre_jugador;Dorsal;Posicion;Equipo;ID_equipo;goles_marcados;asistencias;goles_recibidos;paradas;tarjetas_amarillas;tarjetas_rojas
Diego Fuoli;25;Portero;Almeria;17;0;0;0;0;0;0
Diego Marino;1;Portero;Almeria;17;0;0;2;3;0;0
Fernando Martinez;13;Portero;Almeria;17;0;0;61;133;3;0
Giorgi Makaridze;1;Portero;Almeria;17;0;0;0;0;0;0
Aitor Bunuel;2;Defensa;Almeria;17;0;0;0;0;0;0
Aitor Punal;35;Defensa;Almeria;17;0;0;0;0;0;0
Arnau Sola;-;Defensa;Almeria;17;0;0;0;0;0;0
Chumi;21;Defensa;Almeria;17;1;0;0;0;5;0
Cuenca;29;Defensa;Almeria;17;0;0;0;0;0;0
Daniel Carrico;23;Defensa;Almeria;17;0;0;0;0;0;0
Houboulang Mendes;24;Defensa;Almeria;17;0;1;0;0;2;0
Ivan Martos;-;Defensa;Almeria;17;0;0;0;0;0;0
Jonathan;-;Defensa;Almeria;17;0;0;0;0;0;0
Kaiky;2;Defensa;Almeria;17;0;0;0;0;5;0
Nelson Monte;24;Defensa;Almeria;17;0;0;0;0;0;0
Rodrigo Ely;19;Defensa;Almeria;17;0;1;0;0;8;1
Sergio Akieme;15;Defensa;Almeria;17;1;0;0;0;5;0
Srdjan Babic;22;Defensa;Almeria;17;3;0;0;0;5;0
Alex Centelles;20;Defensa;Almeria;17;1;2;0;0;0;1
Alex Pozo;17;Defensa;Almeria;17;0;3;0;0;2;0
Arnau Puigmal;8;Mediocentro;Almeria;17;1;0;0;0;4;0
Cristian Olivera;-;Mediocentro;Almeria;17;0;0;0;0;0;0
Cesar de la Hoz;6;Mediocentro;Almeria;17;1;0;0;0;6;0
Francisco Portillo;8;Mediocentro;Almeria;17;2;1;0;0;1;0
Gonzalo Melero;11;Mediocentro;Almeria;17;4;3;0;0;5;0
Gui;28;Mediocentro;Almeria;17;0;0;0;0;0;0
Lucas Robertone;5;Mediocentro;Almeria;17;2;7;0;0;7;0
Mamadou Dialla Sylla;36;Mediocentro;Almeria;17;0;0;0;0;0;0
Marcos Pena;26;Mediocentro;Almeria;17;0;0;0;0;0;0
Martin Svidersky;26;Mediocentro;Almeria;17;0;0;0;0;0;0
Samu Costa;23;Mediocentro;Almeria;17;1;2;0;0;5;0
Inigo Eguaras;16;Mediocentro;Almeria;17;1;1;0;0;6;0
Adri Embarba;10;Delantero;Almeria;17;4;3;0;0;3;1
Arvin Appiah;27;Delantero;Almeria;17;0;0;0;0;0;0
Carlos Gilbert;37;Delantero;Almeria;17;0;0;0;0;0;0
Carlos Rojas;33;Delantero;Almeria;17;0;0;0;0;0;0
Dyego Sousa;11;Delantero;Almeria;17;0;1;0;0;0;0
El Bilal Toure;9;Delantero;Almeria;17;7;2;0;0;0;0
Jordi Escobar;-;Delantero;Almeria;17;0;0;0;0;0;0
Juan Villar;7;Delantero;Almeria;17;0;0;0;0;0;0
Largie Ramazani;7;Delantero;Almeria;17;3;1;0;0;6;0
Luis Javier Suarez;16;Delantero;Almeria;17;4;4;0;0;4;1
Lazaro;14;Delantero;Almeria;17;6;0;0;0;1;0
Leo Baptistao;12;Delantero;Almeria;17;5;2;0;0;7;0
Marciano Sanca;34;Delantero;Almeria;17;0;0;0;0;0;0
Marezi;29;Delantero;Almeria;17;0;0;0;0;0;0
Raul Caballero;28;Delantero;Almeria;17;0;0;0;0;0;0
